Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558299600.0 1356.0 98 149 388 0 153 174 600 677 0 233 4045 772 2164 756 590 2118 481 2075 803 724
1558299600.0 136.721 NA 87 341 0 NA NA 163 668 0 NA NA 500 7022 821 NA NA 920 3323 1088 NA
1558299600.0 136.722 NA 90 361 0 NA NA 164 625 0 NA NA 701 13138 1522 NA NA 1050 6683 2101 NA
1558299600.0 136.723 NA 93 346 0 NA NA 176 686 0 NA NA 844 12463 1032 NA NA 1013 6960 1104 NA
1558299600.0 136.724 NA 89 375 0 NA NA 165 701 0 NA NA 710 14842 1280 NA NA 1032 7253 1704 NA
1558299600.0 136.725 NA 86 372 0 NA NA 163 733 0 NA NA 523 8122 821 NA NA 1457 3709 937 NA
1558299600.0 136.726 NA 93 355 0 NA NA 171 670 0 NA NA 585 8270 804 NA NA 515 3736 897 NA
1558299600.0 136.727 NA 193 405 0 NA NA 294 727 0 NA NA 1687 13130 1262 NA NA 1821 6714 1944 NA
1558299600.0 136.728 NA 143 380 0 NA NA 288 746 0 NA NA 2973 9681 914 NA NA 4643 5810 1511 NA
1558299600.0 136.729 NA 89 352 0 NA NA 161 608 0 NA NA 665 13062 1261 NA NA 1091 6570 1861 NA
1558299600.0 136.73 NA 89 398 0 NA NA 170 724 0 NA NA 808 13457 1367 NA NA 1100 6922 1885 NA
1558299600.0 136.731 NA 88 418 0 NA NA 167 775 0 NA NA 712 13651 1147 NA NA 1044 7221 1380 NA
1558299600.0 136.732 NA 91 333 0 NA NA 165 613 0 NA NA 686 10790 1253 NA NA 1041 7580 1794 NA
1558299600.0 136.734 NA 96 345 0 NA NA 161 698 0 NA NA 955 13842 988 NA NA 1065 8200 1045 NA
1558299600.0 136.735 NA 92 311 0 NA NA 170 598 0 NA NA 682 3048 656 NA NA 448 2351 734 NA
1558299600.0 136.736 NA 97 365 0 NA NA 158 700 0 NA NA 760 17770 1247 NA NA 869 8270 1548 NA
1558299600.0 136.737 NA 88 422 0 NA NA 159 765 0 NA NA 869 20826 1202 NA NA 1074 8380 1487 NA
1558299600.0 136.738 NA 92 369 0 NA NA 160 725 0 NA NA 707 16588 760 NA NA 464 6040 795 NA
1558299600.0 136.739 NA 86 374 0 NA NA 163 765 0 NA NA 741 15129 880 NA NA 2070 6839 1091 NA
1558299600.0 136.74 NA 88 417 0 NA NA 166 756 0 NA NA 869 21556 1123 NA NA 1744 9324 1379 NA
1558299600.0 136.741 NA 92 366 0 NA NA 165 745 0 NA NA 907 21055 1446 NA NA 1322 8876 2050 NA
1558299600.0 136.742 NA 93 360 0 NA NA 156 725 0 NA NA 571 11989 812 NA NA 657 7250 1207 NA
1558299600.0 136.743 NA 92 394 0 NA NA 159 701 0 NA NA 839 18292 1461 NA NA 956 8188 2072 NA
1558299600.0 136.744 NA 89 417 0 NA NA 166 747 0 NA NA 753 20756 1464 NA NA 899 8955 2148 NA
1558299600.0 136.745 NA 97 355 0 NA NA 168 687 0 NA NA 753 14764 1496 NA NA 895 6870 2077 NA
1558299600.0 136.746 NA 91 357 0 NA NA 174 711 0 NA NA 1007 19769 1412 NA NA 1308 8426 2064 NA
1558299600.0 136.747 NA 97 360 0 NA NA 168 650 0 NA NA 773 19184 1047 NA NA 872 9211 1132 NA
