Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1558342800.0 136.8643 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.867 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.869 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.873 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.886 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.888 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.889 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.894 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.895 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 136.896 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1360.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 1361.17 0 NA NA NA 0 NA NA NA 792 NA NA NA 3881 NA NA NA
1558342800.0 1361.18 0 NA NA NA 0 NA NA NA 737 NA NA NA 3462 NA NA NA
1558342800.0 1362.17 0 NA NA NA 0 NA NA NA 771 NA NA NA 3833 NA NA NA
1558342800.0 1363.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 1365.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 1366.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 140.55 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 145.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 148.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 149.0 0 NA NA NA 0 NA NA NA 760 NA NA NA 3049 NA NA NA
1558342800.0 15.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 150.0 0 NA NA NA 0 NA NA NA 828 NA NA NA 5517 NA NA NA
1558342800.0 158.1 NA 0 NA NA NA 0 NA NA NA 2650 NA NA NA 7946 NA NA
1558342800.0 158.3 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 16.0 NA 60 NA NA NA 141 NA NA NA 1087 NA NA NA 3684 NA NA
1558342800.0 17.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 19.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 2.0 0 NA NA NA 0 NA NA NA 819 NA NA NA 5517 NA NA NA
1558342800.0 20.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 200.0 NA 64 NA NA NA 147 NA NA NA 1160 NA NA NA 4866 NA NA
1558342800.0 20234.99 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 203.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 204.0 0 NA NA NA 0 NA NA NA 756 NA NA NA 2850 NA NA NA
1558342800.0 20434.0 0 NA NA NA 0 NA NA NA 825 NA NA NA 5518 NA NA NA
1558342800.0 21234.11 0 NA NA NA 0 NA NA NA 822 NA NA NA 5518 NA NA NA
1558342800.0 22.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 23.0 NA 62 NA NA NA 142 NA NA NA 1098 NA NA NA 3687 NA NA
1558342800.0 24.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 25.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 250199.0 0 NA NA NA 0 NA NA NA 857 NA NA NA 3821 NA NA NA
1558342800.0 250200.1 0 NA NA NA 0 NA NA NA 694 NA NA NA 2557 NA NA NA
1558342800.0 250200.18 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 250202.171 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 250203.18 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 250206.118 0 NA NA NA 0 NA NA NA 834 NA NA NA 3832 NA NA NA
1558342800.0 250206.18 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 250206.181 NA 0 NA NA NA 0 NA NA NA 916 NA NA NA 5386 NA NA
1558342800.0 250208.17 NA 92 NA NA NA 174 NA NA NA 1451 NA NA NA 4817 NA NA
1558342800.0 250399.17 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 250399.18 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
